Page number, Time taken
5, 2.864
8, 2.933
3, 2.985
24, 3.041
19, 3.076
6, 3.139
27, 3.222
15, 3.34
20, 3.385
26, 3.446
30, 3.499
36, 3.549
48, 3.596
50, 3.645
35, 3.687
28, 3.745
49, 3.817
52, 3.89
2, 3.945
42, 3.981
18, 4.017
46, 4.077
13, 4.15
29, 4.221
45, 4.261
1, 4.329
41, 4.374
39, 4.45
40, 4.485
38, 4.528
14, 4.569
37, 4.606
51, 4.654
56, 4.694
21, 4.734
55, 4.858
22, 4.937
47, 4.998
31, 5.041
57, 5.091
11, 5.127
43, 5.168
12, 5.249
17, 5.294
58, 5.344
7, 5.399
59, 5.442
4, 5.526
67, 5.562
69, 5.598
66, 5.636
68, 5.676
71, 5.735
70, 5.786
65, 5.837
77, 5.895
79, 5.944
60, 5.993
81, 6.027
16, 6.08
33, 6.139
32, 6.198
23, 6.247
25, 6.295
9, 6.333
80, 6.382
72, 6.441
73, 6.475
82, 6.512
75, 6.566
76, 6.628
92, 6.669
83, 6.703
61, 6.74
62, 6.8
93, 6.849
98, 6.906
96, 6.943
95, 6.979
97, 7.012
53, 7.057
100, 7.097
104, 7.13
10, 7.167
94, 7.237
102, 7.308
101, 7.438
74, 7.615
109, 7.663
105, 7.706
113, 7.749
110, 7.889
112, 7.922
106, 8.04
121, 8.277
78, 8.358
123, 8.533
126, 8.592
108, 8.668
127, 8.759
85, 8.835
128, 8.891
114, 8.955
84, 9.004
138, 9.041
134, 9.078
135, 9.14
139, 9.236
115, 9.318
119, 9.369
136, 9.415
99, 9.466
151, 9.506
137, 9.569
154, 9.659
140, 9.732
144, 9.769
116, 9.813
146, 9.857
153, 9.909
125, 9.96
147, 10.019
149, 10.092
120, 10.175
130, 10.239
117, 10.33
124, 10.379
157, 10.435
156, 10.475
91, 10.534
132, 10.585
90, 10.627
142, 10.683
150, 10.755
54, 10.845
162, 10.882
161, 10.931
133, 11.065
44, 11.134
155, 11.184
171, 11.223
159, 11.281
152, 11.416
89, 11.524
34, 11.58
129, 11.642
111, 11.689
172, 11.741
173, 11.814
141, 11.877
175, 11.936
176, 12.068
86, 12.132
131, 12.179
164, 12.233
165, 12.276
148, 12.311
170, 12.349
158, 12.389
122, 12.423
88, 12.456
103, 12.496
160, 12.538
177, 12.58
178, 12.629
169, 12.662
199, 12.697
179, 12.731
180, 12.767
200, 12.801
181, 12.835
182, 12.876
183, 12.909
163, 12.942
184, 12.975
185, 13.012
186, 13.045
187, 13.079
188, 13.121
189, 13.164
63, 13.224
145, 13.258
118, 13.29
166, 13.324
192, 13.358
193, 13.394
194, 13.428
174, 13.462
167, 13.499
196, 13.533
197, 13.567
87, 13.602
198, 13.636
168, 13.669
190, 13.703
143, 13.746
195, 13.789
191, 13.832
107, 13.867
64, 15.599
